" der Gebrauch, -¨e",use
"der Gestank, -X",stench
"der Getränkemarkt, -¨e","party store, beer - wine store"
"der Gott, -¨er","God, gods"
"der Grund, -¨e","the reason, the matter"
"der Grundsatz, -¨e",principle
"der Gürtel, -",belt
"der Haarschnitt, die Frisur",haircut
"der Hacken, -",hooks
"der Hafen, -¨",harbor
"der Hafer, -",oat
"der Hals, -¨e",neck
"der Halz-Nasen-Ohrenartz, -¨","ear, nose and throat doctor"
"der Hammer, -¨",hammer
"der Hase, -n","hare, undomesticated rabbit"
"der Hass, -X","hate, hatred"
"der Haushalt, -e",household
"der Heilend, -e",savior
"der Heilige, -",saint
"der Held, -en, die Heldin, -nen","hero, heroin"
"der Herd, -e","whole stove, oven and top"
"der Himmel, -",heaven
"der Hinduismus, x",hinduism
"der Hochzeitstage, -n",wedding day
"der Hof, -¨e","yard, courtyard"
"der Honig, -",honey
"der Horizont, -e",horizon
"der Huf, -e",hoof
"der Husten, -X",cough
"der Hustensaft, -¨e",cough syrup
"der Hüter, die Hüterin",custodian
"der Internist, -",internalist
"der Internspeicher, -X",computer memory
"der Kachelboden, -",tile floor
"der Kalender , -",calender
"der Kamm, -¨e",comb
"der Kasperl, -n",puppet
"der Kassenzettel, -",receipt
"der Kater, -",tomcat
"der Keks, -e",cookies
"der Kellner, -, die Kellnerin - nen","waiter, waitress"
"der Klee, -",clover
"der Kleiderbügel, -",coat hanger
"der Klub, -s","club, civic group"
"der Knoblauch, -",garlic
"der Knöchel, -",ankle
"der Koffer, -",suitcase
"der Kohl, -e",cabbage
"der Kontrast, -e",contrast
"der Kontrolleur, -",inspector
"der Kopf, -¨e",head
"der Kopfsalat, -e",head lettuce
"der Korb, -¨e",basket
"der Korken, -",cork
"der Korkenzieher, -",corkscrew
"der Krankenpfleger, -e","nurse, male or female"
"der Kratzer, -",scratch
"der Kreis, -e",circle
"der Kuchen, -",cake
"der Kugelschreiber, -",ink pen
"der Kunde, -n, die Kundin, -nen",customer
der Kundenservice,customer service department
"der Kuss, -¨e",kiss
"der Käfig, -",birdcage
"der Käse, -n",cheese
"der Körper, -",body
"der Kühlschrank, -¨e",refrigerator
"der Kürbis, -es",pumpkins
"der Laden, -¨",shop
"der Langschläfer, -in","late sleeper, lazy person"
"der Laptop, -s",laptop computer
"der Lauch, -e",leek
"der Leerlauf, x",idle
"der Legastheniker, -, die Legasthenikerin, -nen",dyslexic
"der Leiter, -",leader
"der Liebling, -s",loved one
"der Lockenwickler, -X",hair curlers
"der Lärm, -X",noise
"der Löffel, -",spoon
"der Löwe, -n",lion
"der Mais, -X",corn
"der Maiskolben, -X",corncob
"der Maurer, -",bricklayer
"der Mediabericht, -e",media report
"der Meeresblick, -e",seaside view
"der Mensch, -en",humans
"der Mond, -e",the moon
"der Mord, -er",murder
"der Morgenmantel, -",housecoat
"der Mulleimer, -",trash bin
"der Mund, ¨-er",mouth
"der Musiker, -, die Musikerin, -nen",musician
"der Muskel, -n",muscle
"der Mut, -X","courage, pluck"
"der Nabel, -",navel
"der Nachbar, -, die Nachbarin, -nen",neighbor
"der Nachteil, -e",disadvantage
"der Name, -n",name
"der Nebel, -","fog, mist"
"der Nord, Süd, Ost, West","North, South, East and West"
"der Notausgang, -¨e",emergency exit
"der Nu, -X",no time
"der Nudelsalat, -e",pasta salad
"der Oberkörper, -",upper body
"der Oberschenkel, -",thigh
"der Ochse, -n",ox
"der Ofen, -¨",oven
"der Ort, -¨er",place
"der Orthopäde, -n",orthopedist
"der Pantoffelheld, -en","hen pecked husband, i.e. Slipper bound"
"der Papagei, -en",parrot
"der Paprika, -X",bell peppers
"der Park, -s",park
"der Partner, -, die Partnerin, -nen",partner
"der Pass, -¨e",passport
"der Pfeffer, -",pepper
"der Pfirsich, -e",peach
"der Pilz, -e",mushroom
"der Pinsel, -",brush
"der Plünderer, -","raider, plunderer"
"der Psychiater, -",psychiatrist
"der Pullover, -s",a sweater
"der Quark, -",sour cream
"der Rabe, -n",raven
"der Rahmen, -",frame
"der Rand, -¨er",edge
"der Rat, -X",advice
"der Raum, -¨e","space, room"
"der Rechtsstreit, -e",legal dispute
"der Regenschirm, -e",umbrella
"der Respekt, -X",respect
"der Rest, -e",the rest
"der Retter, die Retterin","rescuer, savior"
"der Rettich, -e",radish
"der Rhythmus, -",rhythm
"der Riese, -n",giant
"der Ring, -e",ring
"der Ritter, -",knight
"der Rock, -¨e",skirt
"der Roller, -",scooter
"der Ruhm, x",glory
"der Rumpf, -¨e","body core, trunk"
"der Rücken, -","the back, spine"
"der Sack, -¨e",sack
"der Saft, -¨e",juice
"der Salat, -e",lettuce
"der Sand, -e",sand
"der Sandstrand, -¨e",sandy beach
"der Schal, -e","scarf, shawl"
"der Schalter, -","counter, switch"
"der Schatz, -¨e","treasure, sweetheart"
"der Schein, -e","paper money, bill"
"der Schimpf, -","insult, affront"
"der Schinken, -",ham
"der Schirm, -e","shield, screen"
"der Schlitten, -","sled, sledge"
"der Schlitz, -e","slot, slit"
"der Schluck, -e","of liquid, a drink, a swallow, a drop"
"der Schlüssel, -",key
"der Schmeichler, -",flatterer
"der Schmerz, -en",pain
"der Schmetterling, -e",butterfly
"der Schmuck, -e",jewelry
"der Schnabel, -¨",beak
"der Schnupften, -",a cold
"der Schrank, -¨e","cupboard, wardrobe"
"der Schrei, -e",scream
"der Schwager, die Schwägerin","brother in law, sister in law"
"der Schwan, -¨e",swan
"der Schwerpunkt, -e",center of gravity
"der Schäferhund, -e",german shepherd
"der Schönheitschirurg, -en",plastic surgeon
"der Seite, -n","side, page"
"der Senf, -e",mustard
"der Sessel, -",armchair
"der Seufzer, -",sigh
"der Sklave, -n die Sklavin",slave
"der Sohn, -¨e","son, sons"
"der Spinat, -",spinach
"der Spitzer, -",pencil sharpener
"der Sprecher, -, die Sprecherin, -nen",speaker
"der Staat, -en","state, country"
"der Stab, -¨e","stick, pole"
"der Stabhochsprung, -e",pole vaulting
"der Stadtplan, -¨e","city plan, map"
"der Stadtteil, -e",city district
"der Stamm, -¨e","tree trunk, tribe, clan"
"der Stand, -¨e","stand, counter"
"der Stapel, -","pile, stack"
"der Stau, -e",traffic jam
"der Stern, -¨e",stars
"der Steward, die Stewardess",airline stewardess
"der Stich, -e",stitch
"der Stiefel, -",boot
"der Stier, -e","A steer, a bull"
"der Stift, -e","pen, pin, peg"
"der Stock, -¨e",cane
"der Stoff, -e","fabric, material"
"der Stolz, -",pride
"der Stoß, -¨e","push, shove, punch"
"der Strafzettel, -","parking ticket, etc."
"der Strand, -¨e",beach
"der Strauch, -¨er",shrubbery
"der Strauss, -¨e",ostrich
der Straßenrand,roadside
"der Streifschar, -en",raiding party
"der Streit, -e","argument, quarrel, dispute"
"der Strom, -¨e",river
"der Supermarkt, -¨e",supermarket
"der Suppenteller, -",soup bowl
"der Synthesizer, -s",synthesizer
"der Sünder , -, die Sünder in, -nen",sinner
"der Tagtraum, -¨e",daydream
"der Takt, -e","(music) - bar, time"
"der Taschenrechner, -",calculator
"der Teddybär, -en",teddy bear
"der Tee, -s",tea
"der Teich, -e",pond
"der Teller, -",plate
"der Teppich, -e","carpeting, flooring"
"der Termin, -e",official appointment
"der Tintenfisch, -e","inkfish - i.e. Squid, octopus, etc."
"der Tisch, -e",table
"der Tod, -e",death
"der Topf, -¨e",pot
"der Torhüter, -, die Torhüterin, -nen",goalie
"der Trainer, die Trainerin",trainer
"der Traumurlaub, -e",dream vacation
"der Trauzeuge, -n",witness at a marriage ceremony
"der Tresor, -e","a safe, lockbox, etc."
"der Tropfen, -X",drops
"der Trubel, x",turbulence
"der Tumor, -en","tumor, growth"
"der Turm, -¨e",tower
"der Umzug, -¨e","parade, relocation, move"
"der Unfall, -¨e","accident, wreck"
"der Unterkörper, -",lower body
"der Unterricht, -e","class, lesson, instructions"
"der Unterschied, -e","difference, variation"
"der Verein, -e","official club, organization"
"der Verkäufer,-, die Verkäuferin, -nen",shopkeeper
"der Verlust, -e",loss
"der Verräter, -, die Verräterin, -nen",traitor
"der Vers, -e",verse
"der Verstärker, -",amplifier
"der Vertrieb, -e",sales
"der Videorekorder , -s",videorecorder
"der Vorhang, -¨e",curtains
"der Vormittag, -en",the morning
"der Vorschlag, -¨e","proposal, suggestion"
"der Vorstand, -¨e",the board (of directors)
"der Vorstandsvorsitzende, -","corporate president, head of the board"
"der Vorteil, -e",advantage
"der Wagen, -","car, truck, etc."
"der Wald, -¨er",forest
"der Wart, -e",attendant
"der Wasserhahn, -¨e",faucet
"der Wecker, -",alarm clock
"der Weg, -e",path
"der Wein, -e",wine
"der Weinkeller, -",wine cellar
"der Weizen, -",wheat
"der Weltraum, -¨e",the universe
"der Wert, -e","worth, value"
"der Wettbewerb, -X",competition
"der Wetter, -",better
"der Wettlauf, -x",race
"der Whirlpool, -s","whirlpool, jacuzzi"
"der Winkel, -",angle
"der Wirbel, -","whirl, whirlpool (im Fluß etc.)"
"der Witz, -e","joke, wit."
"der Wunsch, -¨e",wish
"der Wäscheständer , -",clothes drying rack
"der Zahn, -¨e","tooth, teeth"
"der Zahnstocher, -n",toothpick
"der Zauber, -X",magic
"der Zaun, -¨e",fence
"der Zeigefinger, -","pointing finger, index finger"
"der Zerstörer, -",the destroyer
"der Zipfel, -","corner, point"
"der Zoll, -¨e","tax, fee, toll, customs duty"
"der Zoo, -s",zoo
"der Zucker, -",sugar
"der Zweig, -e",twig
"der Übersetzer,-, die Übersetzerin, -nen",translator
"die Abhängigkeit, -en","addiction, dependence"
"die Abteilung, -en",department
"die Abwicklung, -en","liquidation, phaseout"
"die Ader , -n",artery
"die Ahnung, -","suspicion, hunch"
"die Alge, -n",algae
"die Ampel, -n",stop light
"die Anbetung, x","worship, adoration"
"die Anfangsgründe, -X",elements (wie in chemie)
"die Angst, -¨e",axiety
"die Anhöhe, -n","bank, hill"
"die Anklage, -n","charge, - legal"
"die Ankunft, -¨e",arrival
"die Apfelsine, -n","orange, orange tree"
"die Apotheke, -n","chemist, drug store"
"die Aprikose, -n",apricot
"die Armlehne, -n",armrest
"die Art, -en","kind, sort, type"
"die Atmung, -X","respiration, breathing"
"die Auflage, -n","edition, imprint"
"die Augenbraue, -n",eyebrows
"die Ausnahme, -n",exception
"die Autobahn, -en","autobahn, freeway"
"die Backspacetaste, -n",backspace key
"die Backware, -n",baked goods
"die Badesachen, -",bathing things
"die Badewanne, -n",bathtub
"die Banane, -n",banana
"die Bank, -en",bank
"die Bank, -¨e",bench
"die Barmherzigkeit, x",mercy
"die Beere, -n",berry
"die Begeisterung, -X",enthusiasm
"die Bekannte, der Bekannter",acquaintance
"die Besatzung, -en",crew (ins Gesamt)
"die Besichtigung, -en",sight seeing tour
"die Besprechung, -en",discussion
"die Bezirksstadt, -¨e",district capital
"die Birne, -n",pear
"die Bohne, -n",beans
"die Bohrmaschine, -n",drill
"die Bordkarte, -n",bording card
"die Boutique, -n",boutique
"die Bremse, -n",brake
"die Brezel, -n",pretzel
"die Brust, -¨e","chest, breasts (pl)"
"die Brücke, -n",bridge
"die Buchhaltung, -x",finance office
"die Buchhandlung, -en",bookstore
"die Bushaltestelle, -n",bus stop
"die Butter, -",butter
"die Decke, -n","ceiling, bed cover"
"die Digitalkamera, -s",digital camera
"die Ding, -e",thing
"die Disko(thek), -en",dance club
"die Dose, -n",tin of something
"die Dreiheit, -X",trinity
"die Droge, -n",drugs
"die Drogerie, -en","chemist, apotheke, drugstore"
"die Dunkelheit, -en",darkness
"die Durchwahl, ¨e",telephone extension
"die Ecke, -n",corner
"die Ehre, x",honor
"die Eifersucht, x",jealousy
die Einkünfte (pl),earnings
"die Einsamkeit, X",loneliness
"die Empfindlichkeit, x",sensitivity
"die Erbse, -n",pea
"die Erde, -n",earth
"die Erhebung, -en","rise, ascension to power"
"die Erkältung, -en","cold, cough"
"die Ermutigung, -en",encouragement
"die Ernährung, -X",nutrition
"die Errettung, -en",salvation
"die Erschöpfung, -X","exhaustion, fatigue"
"die Erwachsene, -elle, -r","adult, grown up"
"die Fachkraft, -¨e","skilled workers, professional workers"
"die Fahrkarte, -n","train ticket, bus ticket, etc."
"die Farbenpalette, -n",painters palette
"die Feile, -n",file
"die Fensterbank, -¨e",window sill
"die Ferien, (pl)",holidays
"die Fernbedienung, -en",TV remote
"die Ferse, -n",heel
"die Festplatte, -n",computer hard drive
"die Fischsemmel, n","fish bread, fish sandwich"
"die Flotte, -n","fleet, armada"
"die Flucht, -en","escape, getaway"
"die Fluggesellschaft, -¨e",airline
"die Flut, -en",flood
"die Form, -en",form
"die Fotokopie, -en",photocopy
"die Frage, -n",question
"die Freizügigkeit, x","liberality, permissiveness"
"die Freude, -n",joy
"die Frucht, -e",fruit
"die Frucht, -¨e",fruit
"die Fußgängerzone, -n",pedestrianized zone
"die Gabel, -n",fork
"die Gans, -¨e",goose
"die Garantie, -n",guarantee
"die Garderobe, -n",wardrobe
"die Gardine, -n","drapes, curtains"
"die Gebrauchsanweisung, -en",instruction manual
"die Gefühllosigkeit, -x","callousness, insensitivity"
"die Geige, -n",violin
"die Gelegenheit, -",opportunity
"die Gerste, -n",barley
"die Geschichte, -n","history, story"
"die Geschwister, (pl)",brothers and sisters
"die Geselligkeit, X",sociability
"die Glühlampe, -n",light bulb
"die Gottheit, -en","deity, Godhead"
"die Grippe, -n","flu, sickness"
"die Grube, -n","pit, ditch"
"die Größe, -n","size, format"
"die Gurgel, -n",throat
"die Gurke, -n",cucumber
"die Gymnastik, -x",exercises
"die Halbpension, die Vollpension","room and board, full or half"
"die Hand, -¨e",hand
"die Harke, -n",rake
"die Hauptspeise, -n",main meal
"die Hausschuhe, -n","house shoes, slippers"
"die Haut, -¨e",skin
"die Heiligamesse, -n","holy mass, church service"
"die Heimat, -en",home
"die Heizung, -en",heating
"die Hochzeit, -en",wedding
"die Honigmelone, -n",honeydew melon
"die Hurerei, -en",prostitution
"die Höhe, -n",height
"die Informationswirtschaft, -en",information economy
"die Insel, -n",island
"die Jacke, -n",jacket
"die Jalousie, -n",window blinds
"die Kachel, -n",tile
"die Kanone, -n",cannon
"die Karotte, -n",carrot
"die Kartoffel, -n",potato
"die Kelter, -n",winepress
"die Kerze, -n",candle
"die Kette, -n",chain
"die Kirsche, -n",cherry
"die Kiste, -n",wine case
"die Klappe, -n","flap, fig. trap, mouth"
"die Kneipe, -n",pub
"die Knoblauchzehe, -n",garlic clove
"die Kokonuss, -e",coconut
"die Kombination, -en",combination
"die Konferenz, -en",conference
"die Konfession, -en",denomination
"die Kosten, -",costs
"die Krabbe, -n",shrimp
"die Krankmeldung, -en",doctor's excuse
"die Krawatte, -n",necktie
"die Kreide, -n",chalk
"die Kreuzung, -en",intersection
"die Kriminalität, x",crime rate
"die Kugel, -n",ball
"die Kusine, -n, der Cousin, -",cousin
"die Kälte, -n","the cold, i.e. cold weather"
"die Kühltasche, -n","cooler, cold bag"
"die Kühnheit, -x",boldness
"die Lampe, -n","lamp, light"
"die Lanze, -n",lance
"die Lebenshaltung, x",cost of living
"die Lebensphilosophie, -n",life philosophy
"die Leichtathletik, -x",track and field
"die Leiter, -n",ladder
"die Leitung, -en","leading, routing"
"die Limonade, -n",limonade
"die Lippe, -n",lips
"die List, x","cunning, deceit"
"die Lust, -¨e","desire, pleasure, joy"
"die Lücke, -n","gap, hole"
"die Mahlzeit, -en",mealtime
"die Mannschaft, -en",sports team
"die Marketingabteilung, -en",the marketing department
"die Marmelade, -n",jam
"die Maschine, -n","airplane, machine"
"die Mauer, -n",wall
"die Medizin, -n",medicine
die Meeresfrüchte (pl),seafood
"die Meile, -n",mile
"die Meinung, -en","view, opinion"
"die Metzgerei, -",butcher shop
"die Milch, -",milk
"die Mitternacht, -",midnight
"die Möhre, -n",carrot
"die Möwe, -n",seagull
"die Mühe, (pl)","trouble, pains"
"die Münze, -n",cap
"die Nachspeise, -n",dessert
"die Nacht, -¨e",night
"die Nadel, -n",needle
"die Nase, -n",nose
"die Neffe, -n",nephew
"die Nektarine, -n",nectarine
"die Nichte, -n",niece
"die Niederlassung, -en",settlement
"die Not, -¨e","need, poverty"
"die Nähe, -",proximity
"die Olive, -n",olive
"die Ortschaft, -en",locality
"die Packung, -en",package or packet
"die Pantoffel, -n",house slippers
"die Pastete, -n",meat pie
"die Personalabteilung, -en",personnel department
"die Pest, -en",pestilence
die Pfadfinder,boy scouts
"die Pfanne, -n",pan
"die Pfeffermühle, -n",pepper grinder
"die Pflaume, -n",plum
"die Pfote, -n",paws
"die Pfüzte, -n",puddle
"die Pistazie, -n",pistachio
"die Pizza, -s",pizza
"die Platte, -n","platter, serving dish"
"die Pommesfrites, -",french fries
